기준연도,학교명,학기,재학생,학자금대출이용학생비율(%) 전체,학자금대출이용학생비율(%) 등록금
2009,광주교육대학교,1,"1,844",7.6,6.9
2009,광주교육대학교,2,"1,910",7.3,6.9
2009,광주대학교,1,"5,851",18.1,16.9
2009,광주대학교,2,"4,694",15.8,15.4
2009,광주대학교(산업대),1,268,16,15.7
2009,광주대학교(산업대),2,557,17.2,17.2
2009,광주여자대학교,2,"3,551",18.4,18.2
2009,광주여자대학교,1,"4,057",20.4,19.9
2009,국립강릉원주대학교,1,"5,952",11.3,5.9
2009,국립강릉원주대학교,2,"5,698",8.6,4.7
2009,국립강릉원주대학교 _제2캠퍼스,2,"1,561",6.2,4.9
2009,국립강릉원주대학교 _제2캠퍼스,1,"2,018",9.6,6.5
2009,국립경국대학교,1,"6,487",13.3,12.3
2009,국립경국대학교,2,"6,283",11,10.5
2009,국립공주대학교,2,"13,426",12.7,5.3
2009,국립공주대학교,1,"13,797",14.6,13.8
2009,국립군산대학교,2,"7,129",12.4,11.9
2009,국립군산대학교,1,"7,469",15,13.8
2009,국립금오공과대학교,2,"5,967",11.8,11.6
2009,국립금오공과대학교,1,"6,576",13.9,12.4
2009,국립목포대학교,1,"7,607",16.1,14.9
2009,국립목포대학교,2,"7,082",10.5,10.1
2009,국립목포해양대학교,1,"2,426",10.9,4.6
2009,국립목포해양대학교,2,"2,383",12.5,4.3
2009,국립부경대학교,2,"15,692",12.2,12.1
2009,국립부경대학교,1,"17,164",12.5,11.8
2009,국립순천대학교,2,"7,212",10.1,9.9
2009,국립순천대학교,1,"7,634",11.9,11
2009,국립창원대학교,1,"8,461",15.6,14.8
2009,국립창원대학교,2,"7,823",11.8,11.6
2009,국립한국교통대학교,2,0,0,0
2009,국립한국교통대학교,1,"2,268",9.9,9.9
2009,국립한국해양대학교,1,"6,472",14.7,13.7
2009,국립한국해양대학교,2,"6,309",14.4,14.1
2009,국민대학교,2,"12,693",18.3,18.2
2009,국민대학교,1,"13,956",19.4,19.1
2009,극동대학교,1,"3,933",22.3,22.1
2009,극동대학교,2,"3,515",20.9,20.9
2009,금강대학교,1,335,3.6,0
2009,금강대학교,2,306,0.3,0
2009,김천대학교,2,0,0,0
2009,김천대학교,1,"1,100",19.7,18
2009,나사렛대학교,1,"5,606",23.1,22.7
2009,나사렛대학교,2,"5,065",21.4,21.2
2009,남부대학교,1,"2,362",19.5,18.5
2009,남부대학교,2,"1,962",17.6,17.6
2009,남서울대학교(산업대),1,"10,369",21,21
2009,남서울대학교(산업대),2,"9,551",18.4,18.4
2009,단국대학교,1,"10,928",18.5,18.2
2009,단국대학교,2,"9,666",17.7,17.6
2009,단국대학교(천안) _분교,2,"10,974",17.9,17.8
2009,단국대학교(천안) _분교,1,"11,670",19.6,19.3
2009,대구가톨릭대학교,1,"12,932",17.5,17.2
2009,대구가톨릭대학교,2,"11,449",16.2,16.1
2009,대구가톨릭대학교 _제2캠퍼스,1,107,0,0
2009,대구가톨릭대학교 _제2캠퍼스,2,98,0,0
2009,대구가톨릭대학교 _제3캠퍼스,1,188,13.3,13.3
2009,대구가톨릭대학교 _제3캠퍼스,2,178,14.6,14.6
2009,대구교육대학교,1,"2,172",8.1,8.1
2009,대구교육대학교,2,"2,265",8.3,8.3
2009,대구대학교,2,"17,508",16.5,16.4
2009,대구대학교,1,"18,888",18.6,18.3
2009,대구대학교 _제2캠퍼스,2,61,6.6,6.6
2009,대구대학교 _제2캠퍼스,1,96,19.8,19.8
2009,대구예술대학교,1,"1,189",25.8,25.1
2009,대구예술대학교,2,969,20.6,20.6
2009,대구외국어대학교,2,299,21.1,21.1
2009,대구외국어대학교,1,384,21.4,20.8
2009,대구한의대학교,2,"6,207",17.4,17
2009,대구한의대학교,1,"6,794",19.3,18.8
2009,대신대학교,1,517,26.7,26.1
2009,대신대학교,2,510,22,22
2009,대전가톨릭대학교,1,95,0,0
2009,대전가톨릭대학교,2,90,0,0
2009,대전대학교,1,"9,348",16.7,16.7
2009,대전대학교,2,"8,626",15.1,15.1
2009,대전신학대학교,1,266,14.3,13.5
2009,대전신학대학교,2,271,21.4,0
2009,대진대학교,1,"7,680",23.1,15.2
2009,대진대학교,2,"6,917",20.9,0
2009,덕성여자대학교,2,"5,383",16.5,16.4
2009,덕성여자대학교,1,"5,748",16.7,16.5
2009,동국대학교,2,"12,247",14.5,14.4
2009,동국대학교,1,"13,923",15.4,15.1
2009,동국대학교(WISE) _분교,1,"8,425",12.2,13.4
2009,동국대학교(WISE) _분교,2,"8,250",8.9,8
2009,동덕여자대학교,1,"7,399",19.6,19.3
2009,동덕여자대학교,2,"6,791",18.1,17.8
2009,동명대학교,1,"6,060",5.6,12.9
2009,동명대학교,2,"4,471",6.2,11.1
2009,동명정보대학교,2,"2,073",7,9.9
2009,동명정보대학교,1,"1,512",8.7,9.4
2009,동서대학교,2,"9,893",19.7,19.5
2009,동서대학교,1,"10,864",21,20.7
2009,동신대학교,2,"5,525",14.1,13.7
2009,동신대학교,1,"6,224",16.2,15.6
2009,동아대학교,2,"18,985",17.5,17.3
2009,동아대학교,1,"20,182",17.7,17
2009,동양대학교,2,"3,279",18.7,18.7
2009,동양대학교,1,"3,676",21.1,20.6
2009,동의대학교,2,"15,463",17.1,16.8
2009,동의대학교,1,"16,638",18.4,18
2009,루터대학교,1,513,29.8,28.8
2009,루터대학교,2,361,27.1,27.1
2009,명신대학교,2,711,6.3,2.3
2009,명신대학교,1,720,4.2,3.9
2009,명지대학교,1,"7,269",19.9,19.5
2009,명지대학교,2,"6,718",19.1,19
2009,명지대학교 _제2캠퍼스,1,"6,564",18.9,18.3
2009,명지대학교 _제2캠퍼스,2,"6,089",17.2,16.9
2009,목원대학교,1,"8,989",8,13
2009,목원대학교,2,"8,335",7.6,10.2
2009,목포가톨릭대학교,2,567,17.5,17.5
2009,목포가톨릭대학교,1,579,18.7,18.7
2009,배재대학교,1,"9,089",18.3,17.9
2009,배재대학교,2,"8,309",17.2,17
2009,백석대학교,1,"12,917",25.2,25.2
2009,백석대학교,2,"11,653",24.2,24.2
2009,부산가톨릭대학교,2,"3,752",15.8,15.8
2009,부산가톨릭대학교,1,"4,001",17.9,17.6
2009,부산교육대학교,2,"2,232",10.6,10.2
2009,부산교육대학교,1,"2,133",8.2,12.9
2009,부산대학교,1,"21,420",11.3,10.7
2009,부산대학교,2,"19,801",10.7,10.4
2009,부산외국어대학교,2,"8,191",16.9,16.9
2009,부산외국어대학교,1,"9,067",18.9,18.4
2009,부산장신대학교,1,279,28.3,28
2009,부산장신대학교,2,246,27.6,26.8
2009,삼육대학교,2,"4,520",21.6,21.6
2009,삼육대학교,1,"5,156",21.7,21.5
2009,상명대학교,1,"6,576",0,18.2
2009,상명대학교,2,"6,102",0.1,17.7
2009,상명대학교(천안) _분교,1,"6,202",23.2,22.6
2009,상명대학교(천안) _분교,2,"5,516",22.1,22.1
2009,상주대학교,1,"2,546",3.8,3.8
2009,상주대학교,2,"3,280",7.5,7.3
2009,상지대학교,2,"7,409",16.7,16.7
2009,상지대학교,1,"8,133",18.5,18
2009,서강대학교,1,"8,139",10.3,10.3
2009,서강대학교,2,"7,225",10.4,10.4
2009,서경대학교,2,"5,792",19.3,19.3
2009,서경대학교,1,"6,333",6.4,19.4
2009,서남대학교,2,"1,328",18.8,18.8
2009,서남대학교,1,"1,336",17.8,17.8
2009,서남대학교 _제2캠퍼스,2,542,15.9,15.7
2009,서남대학교 _제2캠퍼스,1,812,16.3,15.9
2009,서울과학기술대학교(산업대),1,"12,433",13.6,12.7
2009,서울과학기술대학교(산업대),2,"11,304",12.1,12
2009,서울교육대학교,2,"2,128",4.8,4.8
2009,서울교육대학교,1,"2,072",5.3,5.1
2009,서울기독대학교,1,673,18,17.7
2009,서울기독대학교,2,553,23,22.4
2009,서울대학교,1,"16,325",5.8,5.5
2009,서울대학교,2,"15,976",5.5,5.4
2009,서울시립대학교,1,"8,557",6.3,5.1
2009,서울시립대학교,2,"7,698",10.1,0
2009,서울신학대학교,2,"2,176",31.3,31.2
2009,서울신학대학교,1,"2,321",35.1,35
2009,서울여자대학교,1,"7,741",17.4,16.7
2009,서울여자대학교,2,"6,928",16.8,16.7
2009,서울장신대학교,1,527,35.9,35.9
2009,서울장신대학교,2,495,14.3,14.3
2009,서울한영대학교,2,706,32.9,32.9
2009,서울한영대학교,1,758,36.8,36.8
2009,서원대학교,1,"6,465",18.1,18.1
2009,서원대학교,2,"6,079",15,15
2009,선교청대학교,2,166,42.8,42.8
2009,선교청대학교,1,166,31.3,31.3
2009,선문대학교,1,"8,831",19.2,19
2009,선문대학교,2,"8,017",17.4,17.4
2009,성결대학교,1,"5,337",26.4,26.4
2009,성결대학교,2,"4,951",23.6,23.6
2009,성공회대학교,1,"2,297",22,21.9
2009,성공회대학교,2,"2,097",18.3,18.3
2009,성균관대학교,2,"17,810",10.8,10.7
2009,성균관대학교,1,"19,437",11.3,11
2009,성신여자대학교,1,"10,095",17.3,17
2009,성신여자대학교,2,"9,153",20.6,20.3
2009,세명대학교,1,"8,010",19.3,18.9
2009,세명대학교,2,"7,513",18.1,17.8
2009,세종대학교,2,"9,833",18.4,18.3
2009,세종대학교,1,"10,757",18.2,18.2
2009,세한대학교,2,"3,987",8.2,6.5
2009,세한대학교,1,"4,191",8.2,8.4
2009,수도침례신학교,1,1,0,0
2009,수도침례신학교,2,1,0,0
2009,수원가톨릭대학교,1,161,0,0
2009,수원가톨릭대학교,2,177,0,0
2009,수원대학교,1,"11,101",19.8,19.9
2009,수원대학교,2,"10,204",19.4,19.4
2009,숙명여자대학교,1,"10,578",6.8,12.7
2009,숙명여자대학교,2,"9,389",5.5,9.9
2009,순복음총회신학교,2,0,0,0
2009,순복음총회신학교,1,122,27.9,25.4
2009,순천향대학교,1,"11,156",19.8,19.8
2009,순천향대학교,2,"10,343",18.1,18.1
2009,숭실대학교,1,"12,912",16.1,16.1
2009,숭실대학교,2,"11,333",15.8,15.8
2009,신경주대학교,1,"4,266",20.7,20.7
2009,신경주대학교,2,"3,833",15.7,15.7
2009,신라대학교,1,"9,877",17.9,17.6
2009,신라대학교,2,"9,032",16.7,16.7
2009,아신대학교,1,817,33.2,0
2009,아신대학교,2,831,34.8,0
2009,아주대학교,2,"8,581",6.5,9
2009,아주대학교,1,"9,693",5.5,8.3
2009,안양대학교,1,"4,607",8.2,15.2
2009,안양대학교,2,"4,352",7.7,14.5
2009,안양대학교 _제2캠퍼스,1,458,6.8,13.8
2009,안양대학교 _제2캠퍼스,2,433,6.5,12
2009,연세대학교,2,"17,476",8.5,0
2009,연세대학교,1,"18,782",3.7,5.3
2009,연세대학교(미래) _분교,2,"7,254",17.3,17.3
2009,연세대학교(미래) _분교,1,"7,732",18.4,18
2009,영남대학교,1,"23,481",16.6,16.2
2009,영남대학교,2,"22,034",15.8,15.7
2009,영남신학대학교,1,575,18.4,17.9
2009,영남신학대학교,2,533,16.5,15.9
2009,영산대학교,2,"1,828",11,10.9
2009,영산대학교,1,"2,589",14.9,14.5
2009,영산대학교 _제2캠퍼스,2,"1,501",15.6,15.5
2009,영산대학교 _제2캠퍼스,1,"2,033",17.6,17.4
2009,영산대학교(산업대),1,625,16.6,16.5
2009,영산대학교(산업대),2,881,14.8,14.8
2009,영산대학교(산업대) _제2캠퍼스,1,573,18.3,18.3
2009,영산대학교(산업대) _제2캠퍼스,2,926,17.7,17.7
2009,영산선학대학교,1,38,0,0
2009,영산선학대학교,2,35,0,0
2009,예수대학교,1,547,18.5,18.3
2009,예수대학교,2,530,18.9,18.7
2009,예원예술대학교,2,920,23.2,0
2009,예원예술대학교,1,"1,164",11.9,10.7
2009,예원예술대학교 _제2캠퍼스,2,0,0,0
2009,예원예술대학교 _제2캠퍼스,1,0,0,0
2009,용인대학교,1,"6,163",8.6,18.4
2009,용인대학교,2,"5,857",7.8,14.3
2009,우석대학교,1,"8,048",17.4,16.6
2009,우석대학교,2,"7,190",16.8,16.3
2009,우송대학교,1,"4,221",18.4,18.1
2009,우송대학교,2,"2,168",15.7,15.7
2009,우송대학교(산업대),1,"3,746",12.7,12.6
2009,우송대학교(산업대),2,"4,784",11.6,11.5
2009,울산과학기술원,1,"1,155",7.6,6.9
2009,울산과학기술원,2,467,3,3
2009,울산대학교,2,"12,616",10.9,10.9
2009,울산대학교,1,"13,587",11.2,11.2
2009,원광대학교,1,"17,219",16.3,16
2009,원광대학교,2,"16,290",14.1,14
2009,위덕대학교,2,"2,455",11.9,11.9
2009,위덕대학교,1,"2,778",14.8,14.1
2009,유원대학교,1,"2,723",20.8,21.1
2009,유원대학교,2,"2,364",21.2,21.2
2009,을지대학교,1,928,16.5,16.1
2009,을지대학교,2,922,16.4,15.9
2009,을지대학교 _제2캠퍼스,1,"4,668",23.2,22.9
2009,을지대학교 _제2캠퍼스,2,"3,617",21,20.9
2009,이화여자대학교,2,"14,191",10,9.8
2009,이화여자대학교,1,"15,272",10.4,10
2009,인제대학교,2,"8,728",15.1,15
2009,인제대학교,1,"9,412",15.9,15.6
2009,인제대학교 _제2캠퍼스,1,879,12.2,12.2
2009,인제대학교 _제2캠퍼스,2,874,13.3,13.3
2009,인천가톨릭대학교,2,428,5.4,15.4
2009,인천가톨릭대학교,1,550,6.2,16.4
2009,인천대학교,2,"7,053",16.5,16
2009,인천대학교,1,"8,770",17.1,16.7
2009,인하대학교,2,"17,017",16.8,16.8
2009,인하대학교,1,"18,260",17.4,17.1
2009,장로회신학대학교,1,669,27.8,27.1
2009,장로회신학대학교,2,605,27.1,27.1
2009,전남대학교,1,"18,017",10.5,9.2
2009,전남대학교,2,"17,144",9.9,9.7
2009,전남대학교 _제2캠퍼스,1,"3,562",14,12.2
2009,전남대학교 _제2캠퍼스,2,"3,495",12,11.8
2009,전북대학교,2,"16,152",11.3,11.3
2009,전북대학교,1,"17,863",12.7,12.6
2009,전북대학교 _제2캠퍼스,2,302,12.9,12.9
2009,전북대학교 _제2캠퍼스,1,457,13.8,13.8
2009,전주교육대학교,2,"1,659",7,6.8
2009,전주교육대학교,1,"1,618",7.8,7.5
2009,전주대학교,2,"9,577",16.6,16.6
2009,전주대학교,1,"11,467",17.5,17.1
2009,정석대학,1,139,0,0
2009,정석대학,2,150,0,0
2009,제주교육대학교,1,293,4.4,1.4
2009,제주교육대학교,2,455,3.3,2.4
2009,제주대학교,2,"9,019",6,3.6
2009,제주대학교,1,"9,584",7.6,4.9
2009,조선대학교,1,"20,547",13.8,13.1
2009,조선대학교,2,"19,563",13.5,13.2
2009,중부대학교,2,"7,179",17.1,17
2009,중부대학교,1,"7,906",19.7,19.2
2009,중앙대학교,1,"13,239",13.7,13.5
2009,중앙대학교,2,"12,172",12.1,11.9
2009,중앙대학교(안성) _분교,1,"8,939",9.3,10.4
2009,중앙대학교(안성) _분교,2,"8,498",8.3,9.2
2009,중앙승가대학교,2,280,0,0
2009,중앙승가대학교,1,285,0,0
2009,중원대학교,1,642,24.9,23.7
2009,중원대학교,2,213,22.1,21.1
2009,진주교육대학교,2,"1,986",7.7,7.6
2009,진주교육대학교,1,"1,860",8.3,8.1
2009,진주산업대학교(산업대),2,"5,409",4.8,2.5
2009,진주산업대학교(산업대),1,"5,874",5.9,3.6
2009,차의과학대학교,2,470,16.6,16.6
2009,차의과학대학교,1,480,16.5,16.5
2009,청운대학교,1,"5,714",20.2,19.8
2009,청운대학교,2,"4,923",19,18.9
2009,청주교육대학교,2,"1,742",6.4,1.9
2009,청주교육대학교,1,"1,680",6.5,2.5
2009,청주대학교,1,"13,300",15.5,15.3
2009,청주대학교,2,"12,598",14.2,14.2
2009,초당대학교(산업대),1,"3,981",6.7,5.7
2009,초당대학교(산업대),2,"4,252",5.8,3.8
2009,총신대학교,2,"1,540",26,25.9
2009,총신대학교,1,"1,729",28.1,27.5
2009,추계예술대학교,1,"1,249",26.7,26.5
2009,추계예술대학교,2,"1,208",24,23.8
2009,춘천교육대학교,1,"1,907",5.3,2.8
2009,춘천교육대학교,2,"2,017",6.3,1.7
2009,충남대학교,2,"17,117",9.5,9.1
2009,충남대학교,1,"17,931",10.8,10.3
2009,충북대학교,1,"14,170",11.6,11.6
2009,충북대학교,2,"13,778",10.3,10.3
2009,칼빈대학교,2,405,15.3,11.9
2009,칼빈대학교,1,436,15.6,15.6
2009,탐라대학교,1,498,15.5,14.9
2009,탐라대학교,2,480,12.7,12.5
2009,평택대학교,2,"3,576",20.7,20.7
2009,평택대학교,1,"3,793",23.6,23.3
2009,포항공과대학교,2,"1,323",3,3
2009,포항공과대학교,1,"1,360",2.8,2.8
2009,한경대학교(산업대),1,"6,380",12.5,12.1
2009,한경대학교(산업대),2,"6,049",11.1,10.9
2009,한국과학기술원,1,"3,937",1,0.7
2009,한국과학기술원,2,"3,766",1,0.8
2009,한국교원대학교,2,"2,316",8,7.5
2009,한국교원대학교,1,"2,403",9.2,8.7
2009,한국교통대학교(산업대),2,"8,737",10,10
2009,한국교통대학교(산업대),1,"6,460",15.2,15.2
2009,한국국제대학교,2,"2,700",13.6,13
2009,한국국제대학교,1,"3,173",16.6,16.6
2009,한국기술교육대학교,1,"3,849",13.5,12.7
2009,한국기술교육대학교,2,"3,477",13.4,13.2
2009,한국방송통신대학교,1,"178,688",0.8,0.7
2009,한국방송통신대학교,2,"130,197",0.3,0.3
2009,한국산업기술대학교(산업대),2,"5,583",19.9,19.8
2009,한국산업기술대학교(산업대),1,"6,326",19.8,19.4
2009,한국성서대학교,1,"1,060",33.9,33.9
2009,한국성서대학교,2,955,29.9,29.9
2009,한국예술종합학교,1,"2,329",16.1,15.7
2009,한국예술종합학교,2,"2,100",14.3,14.3
2009,한국외국어대학교,1,"8,600",13.3,13
2009,한국외국어대학교,2,"7,692",12.2,12.1
2009,한국외국어대학교(용인) _분교,2,"7,361",15.1,15
2009,한국외국어대학교(용인) _분교,1,"8,014",16.5,16.3
2009,한국전통문화대학교(각종),1,528,11.9,9.7
2009,한국전통문화대학교(각종),2,513,12.7,11.5
2009,한국체육대학교,2,"2,279",4.3,3.6
2009,한국체육대학교,1,"2,400",4.7,3.7
2009,한국침례신학대학교,1,"1,580",16.6,16.8
2009,한국침례신학대학교,2,"1,431",14.3,13.2
2009,한국항공대학교,2,"3,940",17.2,17.2
2009,한국항공대학교,1,"4,370",17.7,17.2
2009,한남대학교,2,"11,188",14.1,14.1
2009,한남대학교,1,"11,867",15.8,15.6
2009,한동대학교,2,"3,427",16,15.9
2009,한동대학교,1,"3,688",18.3,17.7
2009,한라대학교,2,"2,800",16.9,16.8
2009,한라대학교,1,"3,328",19.9,19.6
2009,한려대학교(산업대),2,"1,071",11.8,11.8
2009,한려대학교(산업대),1,"1,166",14.8,14.5
2009,한림대학교,1,"8,258",6,2.8
2009,한림대학교,2,"7,527",16.4,16.2
2009,한민학교,1,774,19,12.1
2009,한민학교,2,682,24.6,14.2
2009,한밭대학교(산업대),2,"8,262",8.9,8.7
2009,한밭대학교(산업대),1,"8,824",11.7,11
2009,한북대학교,1,924,6.3,15.8
2009,한북대학교,2,522,19.7,0
2009,한서대학교,2,"7,077",24.3,24.3
2009,한서대학교,1,"7,529",25.5,25.3
2009,한성대학교,1,"6,882",19.6,19.6
2009,한성대학교,2,"6,229",19,19
2009,한세대학교,1,"2,750",25.8,25.6
2009,한세대학교,2,"2,432",25.7,25.8
2009,한신대학교,1,"5,250",7.2,15.3
2009,한신대학교,2,"4,756",7.6,14.7
2009,한양대학교,1,"15,683",12,11.4
2009,한양대학교,2,"15,059",11.5,11.3
2009,한양대학교(ERICA) _분교,1,"9,120",17.9,17.4
2009,한양대학교(ERICA) _분교,2,"8,824",16.4,0
2009,한일장신대학교,1,"1,280",11.7,12
2009,한일장신대학교,2,"1,204",6.1,3.9
2009,한중대학교,2,"1,646",11.1,10.6
2009,한중대학교,1,"1,963",15,13.2
2009,협성대학교,1,"4,349",22.7,22.4
2009,협성대학교,2,"4,114",20.5,20.5
2009,호남대학교,1,"7,070",13,12.2
2009,호남대학교,2,"6,502",12.1,11.6
2009,호남신학대학교,2,615,10.4,7.2
2009,호남신학대학교,1,636,11,9.4
2009,호서대학교,2,"11,440",18.9,18.9
2009,호서대학교,1,"12,470",20.8,20.6
2009,호원대학교,2,"5,191",10.1,5.7
2009,호원대학교,1,"5,265",9,8.6
2009,홍익대학교,1,"11,461",14.1,14
2009,홍익대학교,2,"10,650",13.7,13.7
2009,홍익대학교(세종) _분교,1,"6,309",20,19.5
2009,홍익대학교(세종) _분교,2,"6,039",17.7,17.6
2009,화성의과학대학교,1,516,16.3,10.5
2009,화성의과학대학교,2,271,10.7,7.4
2010,가야대학교,2,28,14.3,14.3
2010,가야대학교,1,44,13.6,13.6
2010,가야대학교 _제2캠퍼스,2,"2,376",19.7,19.7
2010,가야대학교 _제2캠퍼스,1,"2,526",18.7,18.5
2010,가천대학교,1,"13,569",20.1,19.9
2010,가천대학교,2,"11,996",26.7,26.4
2010,가천의과학대학교,2,"3,605",25.7,25.5
2010,가천의과학대학교,1,"3,694",25.7,25.6
2010,가톨릭관동대학교,1,"9,106",18.6,18.4
2010,가톨릭관동대학교,2,"7,705",20.6,20.3
2010,가톨릭꽃동네대학교,1,484,6.6,7.9
2010,가톨릭꽃동네대학교,2,469,7.5,10.2
2010,가톨릭대학교,1,"7,340",17.4,17.1
2010,가톨릭대학교,2,"6,780",19.2,18.9
2010,가톨릭대학교 _제2캠퍼스,2,658,0,0
2010,가톨릭대학교 _제2캠퍼스,1,580,8.3,0
2010,가톨릭대학교 _제3캠퍼스,1,210,0.5,0
2010,가톨릭대학교 _제3캠퍼스,2,221,0.5,0
2010,감리교신학대학교,1,906,6.8,3
2010,감리교신학대학교,2,869,8.4,9.9
2010,강남대학교,2,"7,049",7.5,11.5
2010,강남대학교,1,"7,656",7.5,10.1
2010,강서대학교,2,"1,303",25.9,15.7
2010,강서대학교,1,"1,552",23.4,14.2
2010,강원대학교,2,"14,074",12.1,11.5
2010,강원대학교,1,"14,761",11.9,11.2
2010,강원대학교 _제2캠퍼스,2,"5,404",13.6,12.9
2010,강원대학교 _제2캠퍼스,1,"6,085",13.9,13.2
2010,건국대학교,2,"14,703",13.8,13.5
2010,건국대학교,1,"16,348",12.5,12.3
2010,건국대학교(글로컬) _분교,2,"7,227",19,18.8
2010,건국대학교(글로컬) _분교,1,"7,961",18.1,17.7
2010,건동대학교,1,580,8.4,7.6
2010,건동대학교,2,423,9.7,6.9
2010,건양대학교,1,"6,144",16.9,16.4
2010,건양대학교,2,"6,213",18.3,17.8
2010,건양대학교 _제2캠퍼스,1,"1,889",13.6,13.1
2010,건양대학교 _제2캠퍼스,2,"1,734",15.7,15.5
2010,경기대학교,1,"11,986",17.6,17.3
2010,경기대학교,2,"11,006",19.3,19.1
2010,경기대학교 _제2캠퍼스,1,"2,319",18.9,18.7
2010,경기대학교 _제2캠퍼스,2,"2,120",22.5,22.2
2010,경남과학기술대학교,1,"1,437",10.4,10.3
2010,경남과학기술대학교,2,0,0,0
2010,경남대학교,1,"13,346",11.6,11.2
2010,경남대학교,2,"12,437",13,12.6
2010,경동대학교,1,"3,006",9.4,9.5
2010,경동대학교,2,"2,597",11.4,8.8
