기준연도,학교명,대학자체대계열,재적학생,중도탈락학생,중도탈락비율(%)
2012.0,건국대학교,공학계열,6781.0,191,2.82
2012.0,건국대학교,예체능계열,2641.0,49,1.86
2012.0,건국대학교,의학계열,374.0,8,2.14
2012.0,건국대학교,인문사회계열,10942.0,170,1.55
2012.0,건국대학교,자연과학계열,3292.0,98,2.98
2012.0,건국대학교(글로컬) _분교,공학계열,2020.0,62,3.07
2012.0,건국대학교(글로컬) _분교,예체능계열,2276.0,83,3.65
2012.0,건국대학교(글로컬) _분교,인문사회계열,5753.0,243,4.22
2012.0,건국대학교(글로컬) _분교,자연과학계열,2154.0,62,2.88
2012.0,건양대학교,공학계열,2738.0,130,4.75
2012.0,건양대학교,예체능계열,387.0,32,8.27
2012.0,건양대학교,인문사회계열,4599.0,229,4.98
2012.0,건양대학교,자연과학계열,752.0,50,6.65
2012.0,건양대학교 _제2캠퍼스,의학계열,244.0,0,0.0
2012.0,건양대학교 _제2캠퍼스,인문사회계열,299.0,10,3.34
2012.0,건양대학교 _제2캠퍼스,자연과학계열,1733.0,17,0.98
2012.0,경기대학교,공학계열,4662.0,149,3.2
2012.0,경기대학교,예체능계열,2105.0,73,3.47
2012.0,경기대학교,인문사회계열,8770.0,240,2.74
2012.0,경기대학교,자연과학계열,1615.0,46,2.85
2012.0,경기대학교 _제2캠퍼스,예체능계열,708.0,29,4.1
2012.0,경기대학교 _제2캠퍼스,인문사회계열,1635.0,44,2.69
2012.0,경남과학기술대학교,공학계열,953.0,31,3.25
2012.0,경남과학기술대학교,예체능계열,63.0,5,7.94
2012.0,경남과학기술대학교,인문사회계열,481.0,8,1.66
2012.0,경남과학기술대학교,자연과학계열,578.0,18,3.11
2012.0,경남대학교,공학계열,5794.0,480,8.28
2012.0,경남대학교,예체능계열,1496.0,127,8.49
2012.0,경남대학교,인문사회계열,11264.0,742,6.59
2012.0,경남대학교,자연과학계열,1735.0,82,4.73
2012.0,경동대학교,공학계열,773.0,93,12.03
2012.0,경동대학교,예체능계열,152.0,26,17.11
2012.0,경동대학교,인문사회계열,2828.0,325,11.49
2012.0,경동대학교,자연과학계열,1149.0,39,3.39
2012.0,경북대학교,공학계열,8547.0,155,1.81
2012.0,경북대학교,예체능계열,913.0,21,2.3
2012.0,경북대학교,의학계열,272.0,2,0.74
2012.0,경북대학교,인문사회계열,10462.0,169,1.62
2012.0,경북대학교,인문사회계열,209.0,3,1.44
2012.0,경북대학교,자연과학계열,7274.0,190,2.61
2012.0,경북대학교 _제2캠퍼스,공학계열,3804.0,224,5.89
2012.0,경북대학교 _제2캠퍼스,예체능계열,536.0,42,7.84
2012.0,경북대학교 _제2캠퍼스,인문사회계열,577.0,15,2.6
2012.0,경북대학교 _제2캠퍼스,자연과학계열,1461.0,69,4.72
2012.0,경상국립대학교,공학계열,7288.0,225,3.09
2012.0,경상국립대학교,예체능계열,349.0,7,2.01
2012.0,경상국립대학교,의학계열,247.0,1,0.4
2012.0,경상국립대학교,인문사회계열,7513.0,162,2.16
2012.0,경상국립대학교,자연과학계열,6024.0,167,2.77
2012.0,경성대학교,공학계열,4515.0,237,5.25
2012.0,경성대학교,예체능계열,3115.0,206,6.61
2012.0,경성대학교,인문사회계열,10116.0,411,4.06
2012.0,경성대학교,자연과학계열,1887.0,90,4.77
2012.0,경운대학교,공학계열,296.0,16,5.41
2012.0,경운대학교,예체능계열,251.0,25,9.96
2012.0,경운대학교,인문사회계열,326.0,10,3.07
2012.0,경운대학교,자연과학계열,425.0,15,3.53
2012.0,경운대학교(산업대),공학계열,1119.0,123,10.99
2012.0,경운대학교(산업대),예체능계열,1484.0,261,17.59
2012.0,경운대학교(산업대),인문사회계열,1856.0,265,14.28
2012.0,경운대학교(산업대),자연과학계열,1456.0,72,4.95
2012.0,경인교육대학교,예체능계열,317.0,2,0.63
2012.0,경인교육대학교,인문사회계열,731.0,15,2.05
2012.0,경인교육대학교,자연과학계열,443.0,6,1.35
2012.0,경인교육대학교 _제2캠퍼스,예체능계열,343.0,3,0.87
2012.0,경인교육대학교 _제2캠퍼스,인문사회계열,766.0,7,0.91
2012.0,경인교육대학교 _제2캠퍼스,자연과학계열,447.0,2,0.45
2012.0,경일대학교,공학계열,4829.0,365,7.56
2012.0,경일대학교,예체능계열,1226.0,100,8.16
2012.0,경일대학교,인문사회계열,2885.0,204,7.07
2012.0,경일대학교,자연과학계열,206.0,2,0.97
2012.0,경희대학교,공학계열,7869.0,153,1.94
2012.0,경희대학교,예체능계열,4547.0,109,2.4
2012.0,경희대학교,의학계열,491.0,3,0.61
2012.0,경희대학교,인문사회계열,16531.0,265,1.6
2012.0,경희대학교,자연과학계열,5889.0,156,2.65
2012.0,경희사이버대학교,공학계열,532.0,78,14.66
2012.0,경희사이버대학교,예체능계열,424.0,109,25.71
2012.0,경희사이버대학교,인문사회계열,10247.0,1798,17.55
2012.0,계명대학교,공학계열,5946.0,268,4.51
2012.0,계명대학교,예체능계열,5058.0,191,3.78
2012.0,계명대학교,의학계열,314.0,0,0.0
2012.0,계명대학교,인문사회계열,17119.0,633,3.7
2012.0,계명대학교,자연과학계열,3567.0,104,2.92
2012.0,고려대학교,공학계열,6037.0,131,2.17
2012.0,고려대학교,예체능계열,1247.0,11,0.88
2012.0,고려대학교,의학계열,254.0,2,0.79
2012.0,고려대학교,인문사회계열,13884.0,104,0.75
2012.0,고려대학교,자연과학계열,6412.0,184,2.87
2012.0,고려대학교(세종) _분교,공학계열,2784.0,86,3.09
2012.0,고려대학교(세종) _분교,예체능계열,858.0,20,2.33
2012.0,고려대학교(세종) _분교,인문사회계열,5687.0,158,2.78
2012.0,고려대학교(세종) _분교,자연과학계열,1310.0,39,2.98
2012.0,고신대학교,공학계열,254.0,25,9.84
2012.0,고신대학교,예체능계열,529.0,68,12.85
2012.0,고신대학교,의학계열,307.0,0,0.0
2012.0,고신대학교,인문사회계열,3035.0,163,5.37
2012.0,고신대학교,자연과학계열,1388.0,84,6.05
2012.0,공주교육대학교,예체능계열,362.0,5,1.38
2012.0,공주교육대학교,인문사회계열,920.0,10,1.09
2012.0,공주교육대학교,자연과학계열,589.0,0,0.0
2012.0,광신대학교,예체능계열,97.0,13,13.4
2012.0,광신대학교,인문사회계열,507.0,49,9.66
2012.0,광운대학교,공학계열,6829.0,201,2.94
2012.0,광운대학교,예체능계열,199.0,3,1.51
2012.0,광운대학교,인문사회계열,5157.0,171,3.32
2012.0,광운대학교,자연과학계열,1044.0,44,4.21
2012.0,광주가톨릭대학교,인문사회계열,134.0,4,2.99
2012.0,광주과학기술원,공학계열,34.0,0,0.0
2012.0,광주과학기술원,인문사회계열,203.0,5,2.46
2012.0,광주과학기술원,자연과학계열,56.0,1,1.79
2012.0,광주교육대학교,예체능계열,411.0,9,2.19
2012.0,광주교육대학교,인문사회계열,724.0,1,0.14
2012.0,광주교육대학교,자연과학계열,553.0,4,0.72
2012.0,광주대학교,공학계열,1361.0,117,8.6
2012.0,광주대학교,예체능계열,1288.0,132,10.25
2012.0,광주대학교,인문사회계열,5807.0,464,7.99
2012.0,광주대학교,자연과학계열,722.0,31,4.29
2012.0,광주대학교(산업대),인문사회계열,54.0,15,27.78
2012.0,광주여자대학교,예체능계열,208.0,24,11.54
2012.0,광주여자대학교,인문사회계열,2171.0,104,4.79
2012.0,광주여자대학교,자연과학계열,2055.0,79,3.84
2012.0,국립강릉원주대학교,공학계열,2005.0,86,4.29
2012.0,국립강릉원주대학교,예체능계열,577.0,33,5.72
2012.0,국립강릉원주대학교,의학계열,158.0,0,0.0
2012.0,국립강릉원주대학교,인문사회계열,3591.0,136,3.79
2012.0,국립강릉원주대학교,자연과학계열,2569.0,146,5.68
2012.0,국립강릉원주대학교 _제2캠퍼스,공학계열,1816.0,86,4.74
2012.0,국립강릉원주대학교 _제2캠퍼스,예체능계열,421.0,17,4.04
2012.0,국립강릉원주대학교 _제2캠퍼스,인문사회계열,442.0,18,4.07
2012.0,국립강릉원주대학교 _제2캠퍼스,자연과학계열,328.0,2,0.61
2012.0,국립경국대학교,공학계열,3456.0,167,4.83
2012.0,국립경국대학교,예체능계열,607.0,36,5.93
2012.0,국립경국대학교,인문사회계열,3514.0,112,3.19
2012.0,국립경국대학교,자연과학계열,2766.0,122,4.41
2012.0,국립공주대학교,공학계열,7159.0,342,4.78
2012.0,국립공주대학교,예체능계열,1596.0,53,3.32
2012.0,국립공주대학교,인문사회계열,5428.0,106,1.95
2012.0,국립공주대학교,자연과학계열,4579.0,139,3.04
2012.0,국립군산대학교,공학계열,5397.0,388,7.19
2012.0,국립군산대학교,예체능계열,639.0,42,6.57
2012.0,국립군산대학교,인문사회계열,3392.0,195,5.75
2012.0,국립군산대학교,자연과학계열,2591.0,150,5.79
2012.0,국립금오공과대학교,공학계열,8733.0,270,3.09
2012.0,국립금오공과대학교,인문사회계열,361.0,12,3.32
2012.0,국립금오공과대학교,자연과학계열,391.0,11,2.81
2012.0,국립목포대학교,공학계열,3833.0,184,4.8
2012.0,국립목포대학교,예체능계열,606.0,31,5.12
2012.0,국립목포대학교,인문사회계열,4749.0,141,2.97
2012.0,국립목포대학교,자연과학계열,2438.0,114,4.68
2012.0,국립목포해양대학교,공학계열,2455.0,103,4.2
2012.0,국립부경대학교,공학계열,13150.0,378,2.87
2012.0,국립부경대학교,예체능계열,697.0,24,3.44
2012.0,국립부경대학교,인문사회계열,7632.0,251,3.29
2012.0,국립부경대학교,자연과학계열,3605.0,128,3.55
2012.0,국립순천대학교,공학계열,3543.0,346,9.77
2012.0,국립순천대학교,예체능계열,952.0,52,5.46
2012.0,국립순천대학교,인문사회계열,4104.0,216,5.26
2012.0,국립순천대학교,자연과학계열,2531.0,161,6.36
2012.0,국립창원대학교,공학계열,4941.0,179,3.62
2012.0,국립창원대학교,예체능계열,705.0,61,8.65
2012.0,국립창원대학교,인문사회계열,5148.0,137,2.66
2012.0,국립창원대학교,자연과학계열,1575.0,45,2.86
2012.0,국립한국교통대학교,공학계열,4630.0,137,2.96
2012.0,국립한국교통대학교,예체능계열,329.0,14,4.26
2012.0,국립한국교통대학교,인문사회계열,1641.0,42,2.56
2012.0,국립한국교통대학교,자연과학계열,690.0,20,2.9
2012.0,국립한국해양대학교,공학계열,5776.0,137,2.37
2012.0,국립한국해양대학교,예체능계열,157.0,12,7.64
2012.0,국립한국해양대학교,인문사회계열,2605.0,91,3.49
2012.0,국립한국해양대학교,자연과학계열,569.0,11,1.93
2012.0,국립한밭대학교,공학계열,1041.0,12,1.15
2012.0,국립한밭대학교,예체능계열,65.0,3,4.62
2012.0,국립한밭대학교,인문사회계열,325.0,9,2.77
2012.0,국민대학교,공학계열,5580.0,139,2.49
2012.0,국민대학교,예체능계열,3242.0,100,3.08
2012.0,국민대학교,인문사회계열,10115.0,231,2.28
2012.0,국민대학교,자연과학계열,2039.0,48,2.35
2012.0,극동대학교,공학계열,795.0,31,3.9
2012.0,극동대학교,예체능계열,1309.0,78,5.96
2012.0,극동대학교,인문사회계열,3193.0,133,4.17
2012.0,극동대학교,자연과학계열,1122.0,25,2.23
2012.0,금강대학교,인문사회계열,558.0,29,5.2
2012.0,김천대학교,공학계열,122.0,2,1.64
2012.0,김천대학교,예체능계열,83.0,7,8.43
2012.0,김천대학교,인문사회계열,1187.0,85,7.16
2012.0,김천대학교,자연과학계열,1824.0,60,3.29
2012.0,나사렛대학교,공학계열,291.0,17,5.84
2012.0,나사렛대학교,예체능계열,1203.0,55,4.57
2012.0,나사렛대학교,인문사회계열,5228.0,281,5.37
2012.0,나사렛대학교,자연과학계열,1142.0,30,2.63
2012.0,남부대학교,공학계열,404.0,47,11.63
2012.0,남부대학교,예체능계열,674.0,81,12.02
2012.0,남부대학교,인문사회계열,1162.0,126,10.84
2012.0,남부대학교,자연과학계열,1783.0,114,6.39
2012.0,남서울대학교,공학계열,595.0,44,7.39
2012.0,남서울대학교,예체능계열,534.0,24,4.49
2012.0,남서울대학교,인문사회계열,1210.0,65,5.37
2012.0,남서울대학교,자연과학계열,245.0,7,2.86
2012.0,남서울대학교(산업대),공학계열,2757.0,144,5.22
2012.0,남서울대학교(산업대),예체능계열,2738.0,106,3.87
2012.0,남서울대학교(산업대),인문사회계열,6231.0,213,3.42
2012.0,남서울대학교(산업대),자연과학계열,883.0,16,1.81
2012.0,단국대학교,공학계열,4824.0,151,3.13
2012.0,단국대학교,예체능계열,2151.0,72,3.35
2012.0,단국대학교,인문사회계열,8187.0,195,2.38
2012.0,단국대학교,자연과학계열,1694.0,52,3.07
2012.0,단국대학교(천안) _분교,공학계열,3332.0,117,3.51
2012.0,단국대학교(천안) _분교,예체능계열,2589.0,93,3.59
2012.0,단국대학교(천안) _분교,의학계열,481.0,2,0.42
2012.0,단국대학교(천안) _분교,인문사회계열,6511.0,170,2.61
2012.0,단국대학교(천안) _분교,자연과학계열,3745.0,140,3.74
2012.0,대구가톨릭대학교,공학계열,3628.0,189,5.21
2012.0,대구가톨릭대학교,예체능계열,2364.0,147,6.22
2012.0,대구가톨릭대학교,의학계열,414.0,11,2.66
2012.0,대구가톨릭대학교,인문사회계열,8786.0,368,4.19
2012.0,대구가톨릭대학교,자연과학계열,3598.0,87,2.42
2012.0,대구교육대학교,예체능계열,409.0,5,1.22
2012.0,대구교육대학교,인문사회계열,957.0,6,0.63
2012.0,대구교육대학교,자연과학계열,649.0,7,1.08
2012.0,대구대학교,공학계열,7016.0,410,5.84
2012.0,대구대학교,예체능계열,1931.0,121,6.27
2012.0,대구대학교,의학계열,199.0,23,11.56
2012.0,대구대학교,인문사회계열,13889.0,533,3.84
2012.0,대구대학교,자연과학계열,4746.0,179,3.77
2012.0,대구예술대학교,예체능계열,1573.0,179,11.38
2012.0,대구예술대학교,인문사회계열,348.0,23,6.61
2012.0,대구외국어대학교,인문사회계열,389.0,52,13.37
2012.0,대구외국어대학교,인문사회계열,150.0,9,6.0
2012.0,대구한의대학교,공학계열,1214.0,99,8.15
2012.0,대구한의대학교,예체능계열,802.0,54,6.73
2012.0,대구한의대학교,의학계열,453.0,1,0.22
2012.0,대구한의대학교,인문사회계열,3237.0,181,5.59
2012.0,대구한의대학교,자연과학계열,3990.0,202,5.06
2012.0,대신대학교,예체능계열,161.0,15,9.32
2012.0,대신대학교,인문사회계열,457.0,29,6.35
2012.0,대전가톨릭대학교,인문사회계열,152.0,1,0.66
2012.0,대전대학교,공학계열,3388.0,232,6.85
2012.0,대전대학교,예체능계열,1106.0,104,9.4
2012.0,대전대학교,의학계열,341.0,7,2.05
2012.0,대전대학교,인문사회계열,7493.0,411,5.49
2012.0,대전대학교,자연과학계열,2140.0,75,3.5
2012.0,대전신학교,인문사회계열,58.0,10,17.24
2012.0,대전신학대학교,인문사회계열,211.0,14,6.64
2012.0,대진대학교,공학계열,3518.0,218,6.2
2012.0,대진대학교,예체능계열,1702.0,157,9.22
2012.0,대진대학교,인문사회계열,5084.0,285,5.61
2012.0,대진대학교,자연과학계열,1089.0,59,5.42
2012.0,덕성여자대학교,공학계열,424.0,12,2.83
2012.0,덕성여자대학교,예체능계열,920.0,35,3.8
2012.0,덕성여자대학교,인문사회계열,4474.0,124,2.77
2012.0,덕성여자대학교,자연과학계열,1550.0,57,3.68
2012.0,동국대학교,공학계열,5398.0,139,2.58
2012.0,동국대학교,예체능계열,1431.0,48,3.35
2012.0,동국대학교,인문사회계열,10812.0,243,2.25
2012.0,동국대학교,자연과학계열,2109.0,71,3.37
2012.0,동국대학교(WISE) _분교,공학계열,2017.0,107,5.3
2012.0,동국대학교(WISE) _분교,예체능계열,852.0,47,5.52
2012.0,동국대학교(WISE) _분교,의학계열,441.0,5,1.13
2012.0,동국대학교(WISE) _분교,인문사회계열,7126.0,348,4.88
2012.0,동국대학교(WISE) _분교,자연과학계열,1877.0,81,4.32
2012.0,동덕여자대학교,공학계열,310.0,8,2.58
2012.0,동덕여자대학교,예체능계열,2655.0,100,3.77
2012.0,동덕여자대학교,인문사회계열,4176.0,117,2.8
2012.0,동덕여자대학교,자연과학계열,935.0,23,2.46
2012.0,동명대학교,공학계열,6894.0,648,9.4
2012.0,동명대학교,예체능계열,785.0,114,14.52
2012.0,동명대학교,인문사회계열,4719.0,421,8.92
2012.0,동명대학교,자연과학계열,868.0,76,8.76
2012.0,동명정보대학교,공학계열,547.0,98,17.92
2012.0,동명정보대학교,예체능계열,88.0,16,18.18
2012.0,동명정보대학교,인문사회계열,331.0,44,13.29
2012.0,동서대학교,공학계열,4381.0,369,8.42
2012.0,동서대학교,예체능계열,2857.0,209,7.32
2012.0,동서대학교,인문사회계열,7576.0,392,5.17
2012.0,동서대학교,자연과학계열,1326.0,62,4.68
2012.0,동신대학교,공학계열,1816.0,107,5.89
2012.0,동신대학교,예체능계열,810.0,46,5.68
2012.0,동신대학교,의학계열,209.0,0,0.0
2012.0,동신대학교,인문사회계열,3763.0,311,8.26
2012.0,동신대학교,자연과학계열,2594.0,113,4.36
2012.0,동아대학교,공학계열,10043.0,299,2.98
2012.0,동아대학교,예체능계열,2958.0,115,3.89
2012.0,동아대학교,의학계열,103.0,1,0.97
2012.0,동아대학교,인문사회계열,12009.0,276,2.3
2012.0,동아대학교,자연과학계열,3290.0,73,2.22
2012.0,동양대학교,공학계열,2849.0,227,7.97
2012.0,동양대학교,예체능계열,660.0,69,10.45
2012.0,동양대학교,인문사회계열,2956.0,180,6.09
2012.0,동양대학교,자연과학계열,126.0,0,0.0
2012.0,동의대학교,공학계열,8781.0,459,5.23
2012.0,동의대학교,예체능계열,1914.0,133,6.95
2012.0,동의대학교,의학계열,192.0,0,0.0
2012.0,동의대학교,인문사회계열,10672.0,436,4.09
2012.0,동의대학교,자연과학계열,2561.0,107,4.18
2012.0,루터대학교,예체능계열,80.0,11,13.75
2012.0,루터대학교,인문사회계열,578.0,64,11.07
2012.0,명지대학교,공학계열,7195.0,266,3.7
2012.0,명지대학교,예체능계열,1958.0,86,4.39
2012.0,명지대학교,인문사회계열,138.0,9,6.52
2012.0,명지대학교,자연과학계열,1584.0,71,4.48
2012.0,명지대학교 _제2캠퍼스,공학계열,419.0,9,2.15
2012.0,명지대학교 _제2캠퍼스,인문사회계열,10164.0,406,3.99
2012.0,명지대학교 _제2캠퍼스,자연과학계열,249.0,8,3.21
2012.0,목원대학교,공학계열,2741.0,188,6.86
2012.0,목원대학교,예체능계열,3084.0,163,5.29
2012.0,목원대학교,인문사회계열,6448.0,421,6.53
2012.0,목원대학교,자연과학계열,1225.0,77,6.29
2012.0,목포가톨릭대학교,인문사회계열,166.0,4,2.41
2012.0,목포가톨릭대학교,자연과학계열,437.0,10,2.29
2012.0,배재대학교,공학계열,2837.0,250,8.81
2012.0,배재대학교,예체능계열,1236.0,110,8.9
2012.0,배재대학교,인문사회계열,7647.0,537,7.02
2012.0,배재대학교,자연과학계열,1636.0,120,7.33
2012.0,백석대학교,공학계열,2104.0,175,8.32
2012.0,백석대학교,예체능계열,3340.0,167,5.0
2012.0,백석대학교,인문사회계열,12309.0,542,4.4
2012.0,백석대학교,자연과학계열,1036.0,14,1.35
2012.0,부산가톨릭대학교,공학계열,583.0,41,7.03
2012.0,부산가톨릭대학교,인문사회계열,1981.0,117,5.91
2012.0,부산가톨릭대학교,자연과학계열,2626.0,62,2.36
2012.0,부산교육대학교,예체능계열,406.0,3,0.74
2012.0,부산교육대학교,인문사회계열,875.0,2,0.23
2012.0,부산교육대학교,자연과학계열,619.0,2,0.32
2012.0,부산대학교,공학계열,11086.0,288,2.6
2012.0,부산대학교,예체능계열,1929.0,79,4.1
2012.0,부산대학교,인문사회계열,10384.0,185,1.78
2012.0,부산대학교,자연과학계열,6086.0,212,3.48
2012.0,부산외국어대학교,공학계열,970.0,58,5.98
2012.0,부산외국어대학교,예체능계열,475.0,35,7.37
2012.0,부산외국어대학교,인문사회계열,11199.0,476,4.25
2012.0,부산외국어대학교,자연과학계열,156.0,9,5.77
2012.0,부산장신대학교,인문사회계열,349.0,15,4.3
2012.0,삼육대학교,공학계열,1047.0,51,4.87
2012.0,삼육대학교,예체능계열,1144.0,60,5.24
2012.0,삼육대학교,인문사회계열,2956.0,137,4.63
2012.0,삼육대학교,자연과학계열,2375.0,85,3.58
2012.0,상명대학교,공학계열,621.0,18,2.9
2012.0,상명대학교,예체능계열,1364.0,38,2.79
2012.0,상명대학교,인문사회계열,4698.0,89,1.89
2012.0,상명대학교,자연과학계열,2321.0,55,2.37
2012.0,상명대학교(천안) _분교,공학계열,1792.0,78,4.35
2012.0,상명대학교(천안) _분교,예체능계열,3294.0,92,2.79
2012.0,상명대학교(천안) _분교,인문사회계열,2808.0,104,3.7
2012.0,상명대학교(천안) _분교,자연과학계열,804.0,35,4.35
2012.0,상지대학교,공학계열,1847.0,100,5.41
2012.0,상지대학교,예체능계열,1087.0,56,5.15
2012.0,상지대학교,의학계열,266.0,3,1.13
2012.0,상지대학교,인문사회계열,5371.0,290,5.4
2012.0,상지대학교,자연과학계열,2424.0,131,5.4
2012.0,서강대학교,공학계열,2619.0,51,1.95
2012.0,서강대학교,인문사회계열,8033.0,105,1.31
2012.0,서강대학교,인문사회계열,22.0,0,0.0
2012.0,서강대학교,자연과학계열,1282.0,35,2.73
2012.0,서경대학교,공학계열,2507.0,142,5.66
2012.0,서경대학교,예체능계열,1503.0,85,5.66
2012.0,서경대학교,인문사회계열,4019.0,235,5.85
2012.0,서경대학교,자연과학계열,799.0,31,3.88
2012.0,서남대학교,공학계열,56.0,5,8.93
2012.0,서남대학교,예체능계열,197.0,14,7.11
2012.0,서남대학교,의학계열,200.0,1,0.5
2012.0,서남대학교,인문사회계열,171.0,19,11.11
2012.0,서남대학교,자연과학계열,983.0,42,4.27
2012.0,서남대학교 _제2캠퍼스,공학계열,278.0,18,6.47
2012.0,서남대학교 _제2캠퍼스,예체능계열,142.0,10,7.04
2012.0,서남대학교 _제2캠퍼스,인문사회계열,1062.0,111,10.45
2012.0,서남대학교 _제2캠퍼스,인문사회계열,115.0,19,16.52
2012.0,서남대학교 _제2캠퍼스,자연과학계열,206.0,20,9.71
2012.0,서울과학기술대학교,공학계열,1613.0,57,3.53
2012.0,서울과학기술대학교,예체능계열,310.0,6,1.94
2012.0,서울과학기술대학교,인문사회계열,224.0,7,3.12
2012.0,서울과학기술대학교,자연과학계열,126.0,2,1.59
2012.0,서울과학기술대학교(산업대),공학계열,7561.0,62,0.82
2012.0,서울과학기술대학교(산업대),예체능계열,1288.0,17,1.32
2012.0,서울과학기술대학교(산업대),인문사회계열,1049.0,17,1.62
2012.0,서울과학기술대학교(산업대),인문사회계열,265.0,0,0.0
2012.0,서울과학기술대학교(산업대),자연과학계열,602.0,7,1.16
2012.0,서울교육대학교,예체능계열,380.0,6,1.58
2012.0,서울교육대학교,인문사회계열,927.0,14,1.51
2012.0,서울교육대학교,자연과학계열,581.0,5,0.86
2012.0,서울기독대학교,예체능계열,117.0,14,11.97
2012.0,서울기독대학교,인문사회계열,576.0,32,5.56
2012.0,서울대학교,공학계열,5255.0,55,1.05
2012.0,서울대학교,예체능계열,1596.0,14,0.88
2012.0,서울대학교,의학계열,590.0,3,0.51
2012.0,서울대학교,인문사회계열,9114.0,52,0.57
2012.0,서울대학교,자연과학계열,4768.0,81,1.7
2012.0,서울시립대학교,공학계열,4653.0,111,2.39
2012.0,서울시립대학교,예체능계열,640.0,13,2.03
2012.0,서울시립대학교,인문사회계열,6423.0,134,2.09
2012.0,서울시립대학교,자연과학계열,1105.0,30,2.71
2012.0,서울신학대학교,예체능계열,452.0,29,6.42
2012.0,서울신학대학교,인문사회계열,2073.0,69,3.33
2012.0,서울여자대학교,공학계열,596.0,13,2.18
2012.0,서울여자대학교,예체능계열,1265.0,40,3.16
2012.0,서울여자대학교,인문사회계열,5463.0,157,2.87
2012.0,서울여자대학교,자연과학계열,2273.0,73,3.21
2012.0,서울장신대학교,예체능계열,156.0,16,10.26
2012.0,서울장신대학교,인문사회계열,528.0,16,3.03
2012.0,서울한영대학교,예체능계열,88.0,8,9.09
2012.0,서울한영대학교,인문사회계열,652.0,47,7.21
2012.0,서원대학교,공학계열,1188.0,94,7.91
2012.0,서원대학교,예체능계열,1393.0,80,5.74
2012.0,서원대학교,인문사회계열,5303.0,297,5.6
2012.0,서원대학교,자연과학계열,1572.0,82,5.22
2012.0,선문대학교,공학계열,4300.0,302,7.02
2012.0,선문대학교,예체능계열,861.0,55,6.39
2012.0,선문대학교,의학계열,290.0,21,7.24
2012.0,선문대학교,인문사회계열,7287.0,448,6.15
2012.0,선문대학교,자연과학계열,1479.0,55,3.72
2012.0,성결대학교,공학계열,1324.0,55,4.15
2012.0,성결대학교,예체능계열,991.0,49,4.94
2012.0,성결대학교,인문사회계열,3689.0,177,4.8
2012.0,성공회대학교,공학계열,1090.0,59,5.41
2012.0,성공회대학교,인문사회계열,2332.0,123,5.27
2012.0,성균관대학교,공학계열,8522.0,202,2.37
2012.0,성균관대학교,예체능계열,1622.0,51,3.14
2012.0,성균관대학교,의학계열,80.0,0,0.0
2012.0,성균관대학교,인문사회계열,13541.0,263,1.94
2012.0,성균관대학교,자연과학계열,3015.0,118,3.91
2012.0,성신여자대학교,공학계열,480.0,20,4.17
2012.0,성신여자대학교,예체능계열,2501.0,76,3.04
